cod_ibge,municipio,pop2016,govpop2015,mortalidade2015,tx_homicidios2015,despesa2016,enem_media2015,enem_desvpad2015,transf2016,ideb_i2015,ideb_f2015
290395,Bom Jesus da Serra,10515.0,0.04273261322721243,0.017699115044247787,0.00018950161076369148,24343755.09,413.0330508474577,65.85151524982736,11217692.99,3.8,3.7
290640,Candeal,8894.0,0.04483409166574187,0.01098901098901099,0.00011097547442015315,,422.75591397849473,73.46797951187808,8903530.45,3.6,3.0
290685,Capela do Alto Alegre,12203.0,0.0551246080211256,,0.00016504373659019642,,460.64411764705864,86.04443620698929,7844047.21,4.4,3.5
290950,Cravolândia,5568.0,0.0764388489208633,,0.00017985611510791367,,414.29230769230765,68.04016116942255,5060216.76,4.7,3.8
290960,Crisópolis,21700.0,0.04482583152148772,0.010526315789473684,0.0003238192163574964,41703238.29,423.1364179104477,75.49287660612714,18964555.69,4.9,3.7
291020,Dom Macedo Costa,4201.0,0.06862509029617145,,,,428.6788990825688,86.09838480159443,3174101.91,5.1,
291090,Firmino Alves,5804.0,0.06533010715520221,0.012658227848101266,,13793978.99,436.43,91.27332495368657,4601289.24,4.6,3.4
291200,Ibiassucê,10337.0,0.06379737192915635,0.016260162601626018,9.521995810321845e-05,,470.3579881656802,94.5095819397858,9148292.91,,3.8
291250,Ibipitanga,15356.0,0.05210512552301255,0.034013605442176874,,31502046.85,438.5535864978903,81.3839240323056,14331426.72,5.6,4.0
291735,Jaborandi,9138.0,0.05723577235772358,,,34612085.17,433.34697986577163,79.20738052309693,10139672.91,5.3,3.9
291900,Lajedinho,4032.0,0.05510820332159034,,0.0002516356316054353,13814000.99,421.3275862068965,63.93384916431607,3870453.65,4.9,2.8
291960,Macajuba,11878.0,0.03227169046211033,,8.448086508405846e-05,26587097.67,416.0600000000002,68.88131237457982,10922354.76,4.5,3.7
292040,Manoel Vitorino,14364.0,0.036789066813914965,,6.902263942573165e-05,37224093.74,437.4435897435897,82.8470314248694,15084808.63,4.1,2.7
292045,Mansidão,13864.0,0.03924133420536298,0.015384615384615384,,27706685.3,411.3011111111112,60.12616789857218,13342866.41,4.4,
292180,Mortugaba,12505.0,0.04392081429830889,,8.014747134727899e-05,22636932.56,476.4751552795031,101.557417891959,9983297.8,6.0,4.1
292205,Mulungu do Morro,12159.0,0.05885245901639345,0.020942408376963352,0.00032786885245901634,30870542.91,422.526,79.04450486272458,14430621.59,4.3,3.2
292303,Novo Horizonte,12381.0,0.04126491256741298,0.024193548387096774,8.171269815329302e-05,21630067.54,427.5220779220777,86.40591864770235,10540532.29,6.3,4.5
292305,Novo Triunfo,16016.0,0.04414431313699744,0.012195121951219513,0.00018758206715438003,,412.4027777777775,71.58779650914163,11461678.82,3.4,3.0
292320,Oliveira dos Brejinhos,22789.0,0.0337226661982963,0.022026431718061675,4.390972161236498e-05,47157041.12,419.4470989761093,78.2360721123507,21440692.9,4.5,3.1
